status_id,status_message,status_author,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1500321840185061_1926059970944577,"A wheelchair, but with pedals.",Casey Etto,,status,,2017-10-10 02:55:59,5,2,0,2,0,1,2,0,0
1500321840185061_1925886177628623,A DMZ that constantly has DMX playing,Jakob Garfinkle,,status,,2017-10-09 15:15:58,8,4,0,8,0,0,0,0,0
1500321840185061_1926032927613948,What have we done?!,Evan Danek,"IKEA Just Launched A Pet Furniture Collection, And Animal Lovers Want It All",link,https://www.boredpanda.com/ikea-cats-dogs-collection-lurvig/?utm_source=facebook&utm_medium=link&utm_campaign=wordp,2017-10-10 00:41:59,17,3,0,15,0,0,2,0,0
1500321840185061_1926175944266313,Salt free seawater for those with high blood pressure.,Jim Schrempp,,status,,2017-10-10 09:10:38,5,0,0,5,0,0,0,0,0
1500321840185061_1926047670945807,Bacon from 100% bacon-fed pigs.,Jordan Fryer,,status,,2017-10-10 02:04:54,4,1,0,1,3,0,0,0,0
1500321840185061_1926048200945754,Hotfrogs.,Jordan Fryer,,status,,2017-10-10 02:08:16,2,0,0,2,0,0,0,0,0
1500321840185061_1925859224297985,A lozenge that doubles as an electrical power source - Ricola Tesla,Michael Perrone,,status,,2017-10-09 13:36:58,32,1,0,28,0,2,2,0,0
1500321840185061_1925841564299751,Amazon Alexa but made to work and look like a living breathing Kermit the frog,Wali Kamal,,status,,2017-10-09 12:31:13,9,2,0,9,0,0,0,0,0
1500321840185061_1925981917619049,"Ikea for...well, does it even need to be said at this point?",Joanna Eyles,"IKEA Just Launched A Pet Furniture Collection, And Animal Lovers Want It All",link,https://www.boredpanda.com/ikea-cats-dogs-collection-lurvig/?page_numb=1&utm_source=ggnars&utm_medium=link&utm_campaign=ggn,2017-10-09 21:16:18,17,0,0,15,1,0,1,0,0
1500321840185061_1925976517619589,Award-winning swedish cavemen: Nobel Savages,Michael Sitver,,status,,2017-10-09 20:54:42,3,0,0,3,0,0,0,0,0
1500321840185061_1925931697624071,A bar where you have to bring your own waffles,Saira Shahid,,status,,2017-10-09 18:19:05,6,3,0,5,0,0,0,1,0
1500321840185061_1925237047693536,Pubic spiders.,Jordan Fryer,,status,,2017-10-08 03:06:08,11,2,0,2,0,5,0,1,3
1500321840185061_1925969807620260,IRL read receipts so you know if someone heard you or not,Karan Chhatpar,,status,,2017-10-09 20:21:39,9,0,0,9,0,0,0,0,0
1500321840185061_1925952624288645,"DayQuil man:
DayQuil  whoaaa
fighter of the NyQuil whoa 
Champion of the health! 
Your the master of health and vitality for everyone!",Whitney Derman,,status,,2017-10-09 19:26:35,16,2,0,13,1,1,1,0,0
1500321840185061_1925624254321482,An app that forwards calls from scammers to each other.,Amethyst Felidae-Thompson,,status,,2017-10-08 23:24:16,27,2,0,25,0,1,1,0,0
1500321840185061_1925923060958268,A movie theatre that only plays movies from the 1980s and 1990s,Whitney Derman,,status,,2017-10-09 17:37:33,2,2,0,2,0,0,0,0,0
1500321840185061_1925922867624954,"A movie about Vladimir Putin and a bunch of buttery crackers :

Putin on the ritz",Whitney Derman,,status,,2017-10-09 17:36:21,6,0,0,6,0,0,0,0,0
1500321840185061_1925861614297746,"Columbus Day, but replaced with Leif Erikson Day.",Jon Silver,,status,,2017-10-09 13:46:39,44,4,0,37,2,2,3,0,0
1500321840185061_1925608074323100,Chipotle BBQ flavored Greek yoghurt.,Jim Schrempp,,status,,2017-10-08 22:46:46,8,2,0,4,0,1,0,0,3
1500321840185061_1925828977634343,Instagram: gain that muscle mass you always wanted! #getswoll,Guna G-Bear Kondapaneni,,status,,2017-10-09 11:46:25,1,0,0,1,0,0,0,0,0
1500321840185061_1925420084341899,A WAFFLE HOUSE WITH BOOZE.,Griffin Schwab,,status,,2017-10-08 11:39:23,15,4,0,14,0,0,0,0,1
1500321840185061_1925667854317122,"Maple syrup, banned.",Jordan Fryer,,status,,2017-10-09 02:25:37,11,1,0,1,0,0,3,1,6
1500321840185061_1925668820983692,A Godzilla movie better than 1998.,Jordan Fryer,,status,,2017-10-09 02:31:36,0,0,0,0,0,0,0,0,0
1500321840185061_1925608310989743,Locksmithing classes on Mykonos - Jimmy the Greek.,Jim Schrempp,,status,,2017-10-08 22:48:03,2,0,0,2,0,0,0,0,0
1500321840185061_1925112844372623,"Happy hour at the gym, double calories burnt for the same amount of exercise",Craig Terris,,status,,2017-10-07 19:31:49,88,5,0,77,2,5,4,0,0
1500321840185061_1925567960993778,Swedish Skeetballs,Chad Whitney,,status,,2017-10-08 19:55:04,1,0,0,1,0,0,0,0,0
1500321840185061_1925550870995487,An optical delusion whose title tells you it's one thing even though you can clearly tell by looking at it that it's something else: Trump-l'oeil.,Gabriel Jacobs,,status,,2017-10-08 18:40:49,5,1,0,5,0,0,0,0,0
1500321840185061_1925534527663788,A One Direction reunion,Saira Shahid,,status,,2017-10-08 17:45:20,7,1,0,4,0,0,0,2,1
1500321840185061_1925504147666826,An annual award show for memes and gifs.,Chad Whitney,,status,,2017-10-08 15:50:16,7,1,0,7,0,0,0,0,0
1500321840185061_1925446671005907,competitive synchronized farting,Maya Dorrian,,status,,2017-10-08 12:53:31,3,0,0,3,0,0,0,0,0
1500321840185061_1925228627694378,A showerhead that showers you in spiders after a random amount of time.,Jordan Fryer,,status,,2017-10-08 02:32:55,18,1,0,9,0,0,0,2,7
1500321840185061_1925119491038625,Spider toilets,Andrew J. Wesson,,status,,2017-10-07 20:01:44,11,3,0,6,0,1,2,0,2
1500321840185061_1925360161014558,A service which sends you reaffirming texts every 5 minutes while you're going insane waiting for a response to an important text/email,Zev Hurwich,,status,,2017-10-08 09:15:27,7,0,0,7,0,0,0,0,0
1500321840185061_1925334737683767,"a reskin of the ""operation"" board game where the patient is a pizza: ""Make That Pizza Boneless""",Garrett Norris,,status,,2017-10-08 08:27:26,5,0,0,4,1,0,0,0,0
1500321840185061_1925249637692277,Diapers for kittens.,Maria Pikusova,,status,,2017-10-08 03:46:47,2,0,0,1,1,0,0,0,0
1500321840185061_1924700087747232,The internet of toilets,David Perlman,,photo,https://www.facebook.com/photo.php?fbid=10159346355590587&set=gm.1924700087747232&type=3,2017-10-06 21:49:21,10,3,0,7,0,0,1,2,0
1500321840185061_1925143111036263,Bammy looks beatable,Radek Szulga,,status,,2017-10-07 21:40:27,0,0,0,0,0,0,0,0,0
1500321840185061_1925124654371442,"Vaping fluid that smells like actual feces, so you can be honest about what you think of the people around you.",James A. Calwell III,,status,,2017-10-07 20:26:11,5,1,0,4,1,0,0,0,0
1500321840185061_1925129784370929,BDH&M,Daniel Stassen,,status,,2017-10-07 20:41:57,3,0,0,2,0,0,1,0,0
1500321840185061_1925122994371608,"S-Odom: the premier, trusted, smart sex toy accessory that measures in inches, revolutionizing the secondary sex toy market.",Svetlana Shjerven,,status,,2017-10-07 20:18:56,1,0,0,1,0,0,0,0,0
1500321840185061_1925069757710265,"Slow film, but for sheep.",Samuel Hedlund,IndieWire,link,http://www.indiewire.com/2017/10/baa-baa-land-sheep-movie-la-la-land-insomnia-video-1201884460/,2017-10-07 16:56:52,7,1,0,6,0,1,0,0,0
1500321840185061_1925021961048378,Barbershop service for kaijus: Pacific Trim,Karan Chhatpar,,status,,2017-10-07 13:40:24,12,0,0,12,0,0,0,0,0
